absolute_denominator_ha,absolute_hamiltonian_coupling_ha,directly_excited_determinant_index,en_amplitude_score,en_second_order_lowering_score_ha,excitation,external_en_amplitude_rank,global_uccsd_index,hf_determinant_index,internal_2e5o_operator,new_external_operator,operator_label,operator_type,signed_diagonal_gap_ha,transferred_compact10_operator
1.3652181421495069,3.4712714695763835e-17,69,2.5426496780294324e-17,8.826227284471147e-34,"[[0, 10], [6, 19]]",54.0,71,0,False,True,"E71:(0,10)->(6,19)",double,1.3652181421495069,False
0.7170781542906326,1.6940188342584787e-17,71,2.3623907995555683e-17,4.001934508326079e-34,"[[0, 10], [7, 11]]",59.0,72,0,False,True,"E72:(0,10)->(7,11)",double,0.7170781542906326,False
0.7260583172616588,0.0014012890043819223,72,0.0019299951134323582,2.7044809309636043e-06,"[[0, 10], [7, 12]]",31.0,73,0,False,True,"E73:(0,10)->(7,12)",double,0.7260583172616588,False
0.7334011065724448,0.0026831073449352584,73,0.003658444636761975,9.81599967593506e-06,"[[0, 10], [7, 13]]",16.0,74,0,False,True,"E74:(0,10)->(7,13)",double,0.7334011065724448,False
0.8347483915388496,2.7973931844033126e-17,74,3.351181281399475e-17,9.37457167628685e-34,"[[0, 10], [7, 14]]",50.0,75,0,False,True,"E75:(0,10)->(7,14)",double,0.8347483915388496,False
0.9242169808594562,4.861167878818957e-18,75,5.25976905801754e-18,2.556862039484071e-35,"[[0, 10], [7, 15]]",70.0,76,0,False,True,"E76:(0,10)->(7,15)",double,0.9242169808594562,False
0.8742128188189602,1.099058705965567e-18,76,1.2571981127551619e-18,1.3817345309470412e-36,"[[0, 10], [7, 16]]",72.0,77,0,False,True,"E77:(0,10)->(7,16)",double,0.8742128188189602,False
0.8916829275209315,0.002146590074644771,77,0.002407346836406018,5.167586825256648e-06,"[[0, 10], [7, 17]]",26.0,78,0,False,True,"E78:(0,10)->(7,17)",double,0.8916829275209315,False
0.8479167817251678,9.633142136689998e-18,78,1.1360952329650143e-17,1.0944166859967918e-34,"[[0, 10], [7, 18]]",69.0,79,0,False,True,"E79:(0,10)->(7,18)",double,0.8479167817251678,False
1.3652181421495078,2.0536033547856666e-17,79,1.5042309293900172e-17,3.0890936829677007e-34,"[[0, 10], [7, 19]]",65.0,80,0,False,True,"E80:(0,10)->(7,19)",double,1.3652181421495078,False
0.6841263152176058,0.002318013283480688,81,0.003388282590391773,7.854084052714483e-06,"[[0, 10], [8, 11]]",19.0,81,0,False,True,"E81:(0,10)->(8,11)",double,0.6841263152176058,False
0.7106824433209917,2.509749511095531e-17,82,3.531464066239723e-17,8.86309021369658e-34,"[[0, 10], [8, 12]]",49.0,82,0,False,True,"E82:(0,10)->(8,12)",double,0.7106824433209917,False
0.7106824433209917,9.26427578358785e-17,83,1.303574595187162e-16,1.2076674554292762e-32,"[[0, 10], [8, 13]]",40.0,83,0,False,True,"E83:(0,10)->(8,13)",double,0.7106824433209917,False
0.8740338529170222,0.013748042476887592,84,0.015729416464825174,0.00021624868569507154,"[[0, 10], [8, 14]]",5.0,84,0,False,True,"E84:(0,10)->(8,14)",double,0.8740338529170222,False
0.8781615445464377,0.003551872155520396,85,0.004044668293183921,1.4366144688876173e-05,"[[0, 10], [8, 15]]",13.0,85,0,False,True,"E85:(0,10)->(8,15)",double,0.8781615445464377,False
0.8479167817251678,1.872486784740757e-17,86,2.208337923128498e-17,4.1350835772999625e-34,"[[0, 10], [8, 16]]",61.0,86,0,False,True,"E86:(0,10)->(8,16)",double,0.8479167817251678,False
