family,support_name,geometry_key,bond_length_angstrom,external_k,total_operator_count,successful_restarts,analysis_stable,best_variational_total_ha,restart_energy_spread_ha,accepted_full_2e10o_exact_total_ha,best_error_vs_full_2e10o_exact_ha,chemical_accuracy,guard_band_accuracy,variational_bound_respected
deterministic_path,compact10_plus_top_24,3.000000,3.0,24,34,2,True,-7.944857045562353,3.256612757240873e-10,-7.949505082865738,0.004648037303384811,False,False,True
deterministic_path,compact10_plus_top_25,1.595000,1.595,25,35,2,True,-7.997534407898938,9.367582265440433e-10,-7.998002039295045,0.000467631396107393,True,True,True
deterministic_path,compact10_plus_top_25,2.500000,2.5,25,35,2,True,-7.967217200155271,5.5420557032448414e-11,-7.9690746235741745,0.0018574234189037142,False,False,True
deterministic_path,compact10_plus_top_25,3.000000,3.0,25,35,2,True,-7.9448585975316055,7.30171478835473e-11,-7.949505082865738,0.004646485334132144,False,False,True
deterministic_path,compact10_plus_top_26,1.595000,1.595,26,36,2,True,-7.997534981096736,2.731148640577885e-12,-7.998002039295045,0.000467058198308834,True,True,True
deterministic_path,compact10_plus_top_26,2.500000,2.5,26,36,2,True,-7.967217940207413,2.5908164502652653e-11,-7.9690746235741745,0.0018566833667614802,False,False,True
deterministic_path,compact10_plus_top_26,3.000000,3.0,26,36,2,True,-7.94486011825913,1.3801404463720246e-10,-7.949505082865738,0.004644964606607793,False,False,True
deterministic_path,compact10_plus_top_27,1.595000,1.595,27,37,2,True,-7.9975367889546956,1.1586775983118969e-09,-7.998002039295045,0.00046525034034949897,True,True,True
deterministic_path,compact10_plus_top_27,2.500000,2.5,27,37,2,True,-7.967219828351208,4.68229899297512e-11,-7.9690746235741745,0.0018547952229663878,False,False,True
deterministic_path,compact10_plus_top_27,3.000000,3.0,27,37,2,True,-7.944860177870233,1.3073631066617963e-10,-7.949505082865738,0.0046449049955050725,False,False,True
deterministic_path,compact10_plus_top_28,1.595000,1.595,28,38,2,True,-7.997537405670638,3.185629537938439e-11,-7.998002039295045,0.0004646336244071847,True,True,True
deterministic_path,compact10_plus_top_28,2.500000,2.5,28,38,2,True,-7.9672230069323735,7.721201455979099e-11,-7.9690746235741745,0.0018516166418010016,False,False,True
deterministic_path,compact10_plus_top_28,3.000000,3.0,28,38,2,True,-7.944862653749064,1.2612133559741778e-12,-7.949505082865738,0.004642429116673341,False,False,True
deterministic_path,compact10_plus_top_29,1.595000,1.595,29,39,2,True,-7.9975380154598055,1.9239720927544113e-11,-7.998002039295045,0.0004640238352395798,True,True,True
deterministic_path,compact10_plus_top_29,2.500000,2.5,29,39,2,True,-7.967226143419072,5.114042522791351e-11,-7.9690746235741745,0.0018484801551021945,False,False,True
deterministic_path,compact10_plus_top_29,3.000000,3.0,29,39,2,True,-7.944865110114529,6.064482249712455e-12,-7.949505082865738,0.004639972751208532,False,False,True
deterministic_path,compact10_plus_top_30,1.595000,1.595,30,40,2,True,-7.997538655024701,1.5066170533373224e-11,-7.998002039295045,0.0004633842703443136,True,True,True
deterministic_path,compact10_plus_top_30,2.500000,2.5,30,40,2,True,-7.967229312121836,9.0318064138728e-10,-7.9690746235741745,0.0018453114523389047,False,False,True
deterministic_path,compact10_plus_top_30,3.000000,3.0,30,40,2,True,-7.944867620966464,2.268718546361015e-10,-7.949505082865738,0.004637461899273276,False,False,True
deterministic_path,compact10_plus_top_31,1.595000,1.595,31,41,2,True,-7.997539287983628,5.67315083799258e-10,-7.998002039295045,0.00046275131141726433,True,True,True
deterministic_path,compact10_plus_top_31,2.500000,2.5,31,41,2,True,-7.967232438800256,9.799272504551482e-12,-7.9690746235741745,0.0018421847739187314,False,False,True
